Country,Target Year,2025 Import Value,Model 1 Predicted 2026 Import Value,Model 1 Predicted Growth (%),Policy Direction,Risk Level,Opportunity Category,Prediction Explanation
Qatar,2026,10693.0,15471.729343678067,44.69025852125752,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 44.7% in 2026, while the active policy environment is neutral."
Romania,2026,1145465.0,1187238.5173891177,3.6468610903971577,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 3.6% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Russian Federation,2026,575701.0,822369.9191750872,42.84670674101439,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 42.8% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Rwanda,2026,16031.0,17930.32106262226,11.847801525932633,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 11.8% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Saint Kitts and Nevis,2026,287.0,379.02462500235845,32.064329269114445,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 32.1% in 2026, while the active policy environment is neutral."
Saint Lucia,2026,415.0,454.9502199841622,9.626559032328231,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 9.6% in 2026, while the active policy environment is neutral."
Saint Pierre and Miquelon,2026,29.0,77.79056633251325,168.24333218108018,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 168.2% in 2026, while the active policy environment is neutral."
Saint Vincent and the Grenadines,2026,377.0,354.28373401218425,-6.0255347447787155,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 6.0% in 2026, while the active policy environment is neutral."
Samoa,2026,204.0,280.11402372194226,37.310795942128564,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 37.3% in 2026, while the active policy environment is neutral."
Sao Tome and Principe,2026,127.0,179.8231550474764,41.593035470453856,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 41.6% in 2026, while the active policy environment is neutral."
Saudi Arabia,2026,1732918.0,1355842.3056762991,-21.75958091056246,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 21.8% in 2026, while the active policy environment is neutral."
Senegal,2026,20007.0,20098.81511958612,0.45891497768841827,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 0.5% in 2026, while the active policy environment is neutral."
Serbia,2026,84342.0,68678.68893845848,-18.571187618910535,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 18.6% in 2026, while the active policy environment is neutral."
Seychelles,2026,2227.0,2431.3721498816312,9.177016159929563,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 9.2% in 2026, while the active policy environment is neutral."
Ship stores and bunkers,2026,143.0,702.441428973005,391.2177824986049,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 391.2% in 2026, while the active policy environment is neutral."
Sierra Leone,2026,22043.0,47522.82158532509,115.59144211461727,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 115.6% in 2026, while the active policy environment is neutral."
Singapore,2026,579186.0,857137.0149969625,47.98994019140008,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 48.0% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Sint Maarten (Dutch part),2026,369.0,437.32268331329635,18.515632334226662,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 18.5% in 2026, while the active policy environment is neutral."
Slovakia,2026,1425097.0,1966680.7960537262,38.003293533964786,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 38.0% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Slovenia,2026,142773.0,197297.56974711857,38.18969255189606,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 38.2% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Solomon Islands,2026,10796.0,6987.3946892296335,-35.27792988857323,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 35.3% in 2026, while the active policy environment is neutral."
Somalia,2026,13787.0,15693.786773828548,13.830324028639641,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 13.8% in 2026, while the active policy environment is neutral."
South Africa,2026,455912.0,1059073.6138263813,132.29781489111522,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 132.3% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
South Sudan,2026,208.0,1481.7595875240636,612.3844170788767,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 612.4% in 2026, while the active policy environment is neutral."
Spain,2026,2156617.0,2837607.419329785,31.576789913544445,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 31.6% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Sri Lanka,2026,12711.0,16868.374730655985,32.706905284053065,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 32.7% in 2026, while the active policy environment is predominantly supportive."
Sudan,2026,26069.0,22171.529792868638,-14.950593452496685,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 15.0% in 2026, while the active policy environment is neutral."
Sweden,2026,1586652.0,2069670.5367599076,30.442626156202344,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 30.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Switzerland,2026,510171.0,700893.7919567497,37.38409120799688,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 37.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Syrian Arab Republic,2026,6001.0,8033.728250856529,33.87315865449973,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 33.9% in 2026, while the active policy environment is neutral."
Tajikistan,2026,8163.0,6298.106025594975,-22.845693671505874,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 22.8% in 2026, while the active policy environment is neutral."
"Tanzania, United Republic of",2026,18746.0,31956.722959359122,70.4722231908627,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 70.5% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Thailand,2026,1192720.0,1401360.3485917826,17.492818816803823,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 17.5% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Timor-Leste,2026,969.0,1023.1999292985868,5.593387956510498,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 5.6% in 2026, while the active policy environment is neutral."
Togo,2026,12214.0,13857.31696982879,13.454371785072784,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 13.5% in 2026, while the active policy environment is neutral."
Tonga,2026,169.0,324.7315510004338,92.14884674581883,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 92.1% in 2026, while the active policy environment is neutral."
Trinidad and Tobago,2026,3180.0,3385.007476730564,6.44677599781649,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 6.4% in 2026, while the active policy environment is neutral."
Tunisia,2026,16913.0,18212.197472173335,7.681650045369448,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 7.7% in 2026, while the active policy environment is predominantly supportive."
Turkmenistan,2026,349.0,1028.2508860977132,194.62776105951667,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 194.6% in 2026, while the active policy environment is neutral."
Turks and Caicos Islands,2026,820.0,1800.7483090205817,119.60345231958311,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 119.6% in 2026, while the active policy environment is neutral."
Tuvalu,2026,153.0,375.2649147712761,145.27118612501707,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 145.3% in 2026, while the active policy environment is neutral."
Türkiye,2026,1778772.0,1988150.534344349,11.770959647686663,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 11.8% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Uganda,2026,35098.0,56471.01837727435,60.89526006403312,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 60.9% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Ukraine,2026,496705.0,995860.8386327985,100.49341936014304,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 100.5% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
United Arab Emirates,2026,641152.0,895541.1022482944,39.67687884437612,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 39.7% in 2026, while the active policy environment is neutral."
United Kingdom,2026,3110268.0,2960205.5684019295,-4.824742806667159,Negative,High,High risk,"Import demand is expected to decline by approximately 4.8% in 2026, while the active policy environment is also predominantly restrictive."
United States Minor Outlying Islands,2026,432.0,503.1602563274049,16.472281557269653,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 16.5% in 2026, while the active policy environment is neutral."
United States of America,2026,20084555.0,13298607.793843456,-33.78689349182267,Negative,High,High risk,"Import demand is expected to decline by approximately 33.8% in 2026, while the active policy environment is also predominantly restrictive."
Uruguay,2026,11249.0,13553.687542183594,20.487932635644015,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 20.5% in 2026, while the active policy environment is predominantly supportive."
Uzbekistan,2026,498420.0,353147.55396195676,-29.146592439718155,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 29.1% in 2026, while the active policy environment is neutral."
Vanuatu,2026,2772.0,2588.578294163023,-6.61694465501359,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 6.6% in 2026, while the active policy environment is neutral."
"Venezuela, Bolivarian Republic of",2026,11808.0,14807.141185053999,25.399230903235082,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 25.4% in 2026, while the active policy environment is neutral."
Viet Nam,2026,4978530.0,3823603.970882664,-23.19813336702472,Positive,Low,Potential future opportunity,"Import demand is expected to decline by approximately 23.2% in 2026, although the active policy environment remains relatively supportive."
Yemen,2026,83079.0,20169.668110131723,-75.72230273579157,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 75.7% in 2026, while the active policy environment is neutral."
Zambia,2026,39993.0,40176.1299865427,0.4579050997492118,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 0.5% in 2026, while the active policy environment is neutral."
Zimbabwe,2026,46360.0,71687.37574338088,54.63195803145142,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 54.6% in 2026, while the active policy environment is neutral."
